Intervals,net.div.rates,d18O
22.90199861,-0.051929122,2.134851485
21.75689868,-0.057836334,2.064012739
20.61179875,-0.058715249,2.135812661
19.46669882,-0.051978028,2.298097643
18.32159889,-0.035751232,2.208359375
17.17649896,-0.011181909,1.947870722
16.03139903,0.021964821,1.760333333
14.8862991,0.060030115,1.862599119
13.74119917,0.080101622,2.311029126
12.59609924,0.091904493,2.489826087
11.45099931,0.102026154,2.550735294
10.30589937,0.106320222,2.716294416
9.160799444,0.112655536,2.831451613
8.015699514,0.117279069,2.772666667
6.870599583,0.126450734,2.954053156
5.725499653,0.143161818,2.982723697
4.580399722,0.161508437,3.046856287
3.435299792,0.183094975,3.402921811
2.290199861,0.17426885,3.736356383
1.145099931,0.137299811,4.038050193